Amplitude, nodes, Phase
-0.040596632442536223,14,5.350833442400577
-0.037452264664784095,18,4.418361910172436
-0.017154892274238387,20,4.160268554194842
-0.04065980614087718,13,1.0799145675605981
-0.025544646065301272,6,3.044327140446061
-0.0554944902487615,13,0.4503709905368631
-0.024533200293624786,18,3.1855943427544204
-0.036745160965429347,6,4.618206945425013
-0.019918668771760357,9,1.6944089565079954
-0.06627165107201247,4,2.63117121808272
-0.027094774998305753,6,4.130863352240232
-0.06713357272339344,13,0.9814601336835067
-0.038001253891227896,3,1.0626350260914206
-0.03654453851532248,18,5.508253635109346
-0.03578688445915879,10,4.663223820678259
-0.060450994215206756,18,2.962199667012112
-0.026309444800559568,4,5.96073643429016
-0.01949893297375377,10,0.08210538645543189
-0.018436986847637588,12,5.117302260104608
-0.03475443265861809,6,3.909938695414915
-0.03736738773317956,18,4.186353433668183
-0.06776891824486365,16,5.100574587099058
-0.033084046174102794,10,2.3305360359568703
-0.04007294433996423,4,4.933549512049691
-0.04840913747357009,3,5.5999274628896
-0.06345277330486196,7,3.1954701159282397
-0.06025372399061055,17,4.317945838392458
-0.04739710199594109,10,4.788306150399175
-0.03080342444382421,11,0.06451437866467939
-0.06204948630530247,7,0.02004889093600129
-0.019459214709679387,16,4.135171977261089
-0.043486677142685795,20,1.5391945129146383
-0.05537252249440892,5,4.834410118822679
-0.031504727805286514,20,0.10473440611003867
-0.01628824691882946,16,4.848393437537349
-0.028208833104132955,7,2.721143818329149
-0.03656781153433235,8,2.6651257684571585
-0.04964927742586048,16,2.7214348765874123
-0.0730108521108478,1,3.4673067165156666
-0.03158752225052374,14,3.837748658838894
-0.020580532572096494,15,0.21854568181283662
-0.06487295725930377,14,4.826065506778766
-0.0650917842055532,16,0.8900448583753306
-0.016183642700481816,9,1.0691172154777597
-0.06319305694329432,11,2.1890371074457486
-0.04513836768146225,20,4.548187371207673
-0.06492448617023856,14,3.0007397829244957
-0.036849949684869536,14,2.313855652774527
-0.04260075724022529,7,0.807276963862351
-0.07117592914493989,3,4.921368777521745
-0.03186978344050548,15,3.186907352020887
-0.01995638865906146,17,5.322356940004476
-0.03225055592479924,13,5.170590281416819
-0.04585021399112067,11,0.08126456880673888
-0.07034840810166793,7,5.912747187366724
-0.03635075281223351,4,2.5023399557032464
-0.017761905268135703,9,5.509183481980272
-0.05378999146675181,8,0.39909783611104505
-0.020989019635918704,15,2.8164719613109024
-0.06425587172045868,1,2.558568888237402
