Amplitude, nodes, Phase
-0.05361553956326885,4,5.355490269087565
-0.0165120477598327,16,5.412878425418777
-0.14417493823222116,10,2.6355394376376053
-0.1337728295111721,19,3.242120510475229
-0.09769683386265109,11,4.513304050121866
-0.042110062237501925,2,6.264439831171726
-0.10086189708274426,15,2.107214480155893
-0.04917028080789196,6,5.147206091458814
-0.057898380121227305,1,5.946556044502
-0.07718844999073166,19,5.630187288808993
-0.08984436184210276,10,5.059798332913745
-0.12848250410471634,3,0.058090841799516714
-0.051523535163532315,17,0.5695105958642063
-0.13710985577132373,8,6.1892066531378065
-0.07596472365985313,13,4.474755669832027
-0.015014856588274663,17,4.071982455118364
-0.07237762903271885,2,1.5410934135050052
-0.11023277274669048,11,2.6299067310654696
-0.020135473028922598,14,3.6014311749189716
-0.08043149254040441,5,5.381049770738813
-0.09360497467636046,14,4.025779132335861
-0.09814934774308623,18,5.603587660514457
-0.060058132630368855,16,3.9048705067499574
-0.04312139639042942,12,3.7237667489430404
-0.14128045726894872,16,4.298749204851946
-0.05524009278135571,14,5.866602519690384
-0.09609734065504312,1,1.9739325684554159
-0.05220539903679799,1,1.0274930999421654
-0.07813011874052135,10,3.8351994903030175
-0.06164305028377893,8,1.9388076282769797
-0.047627837982195144,9,1.8681533577008882
-0.07678819852579721,5,6.105075751166625
-0.09213489654552712,2,0.838835404724812
-0.08532287342483093,14,6.2354338213135625
-0.07773585081309885,9,1.5874855620118855
-0.08305762965578767,10,3.7665925356898953
-0.09548063304830084,6,0.8672294793776711
-0.0916335178789592,17,5.086385741974972
-0.12424801010408916,11,2.9438035061457706
-0.044282908756486286,11,1.1397775785117528
-0.06068978309833825,5,4.627161643576095
-0.07334185838645005,5,5.727101923061062
-0.10948733086121966,8,3.106230413059184
-0.04319024233476343,1,3.3003152953694084
-0.08859253861101672,4,4.798250156572846
-0.06802886617915688,4,2.632255981272931
-0.03448459349087725,10,3.693439179368459
-0.07569056107385005,4,0.7200853946356219
-0.0744708914495678,8,1.9040644483391989
-0.036927233616017366,11,1.0327875591952618
-0.11597227996831078,12,0.24960850982629815
-0.04196693020586408,17,2.8902797818303076
-0.1003470627656955,14,2.8777148976094633
-0.10678286906369923,17,3.991684868867333
-0.06905075469615221,7,0.5855908426975696
-0.07140566237450163,19,1.4502206974944607
-0.107817532554975,12,2.3756829929429726
-0.02963092691160202,13,4.352737342805805
-0.10194209903662746,3,3.0687159965928736
-0.05299479325123794,5,3.452208038053854
