Amplitude, nodes, Phase
-0.20830548752977956,16,3.174487318309418
-0.2945185845955152,9,3.656905978453547
-0.29999467011504477,12,2.412452252807394
-0.09310108273189148,1,0.48657776737827513
-0.23100812268999482,18,1.4419287462215913
-0.27397202334206616,11,4.300543584434347
-0.20730576609936063,7,1.0586085603277224
-0.0212466319155079,6,2.9486826594853097
-0.4308499483373635,5,4.735997219614559
-0.4620500217280905,18,3.8467079702533007
-0.4929904931520139,19,0.2182827609886157
-0.18492274438001738,18,4.632671670546471
-0.24233251792998428,2,0.5195964929913044
-0.04561204965541549,6,1.7619052011633412
-0.3222325622831484,4,2.1539989163636695
-0.04552128485317249,5,0.1873360882549136
-0.4696973800321191,20,5.626494109774746
-0.2821469404406667,20,2.6825579785281133
-0.27996714488861624,14,3.265977248344344
-0.478216531389106,19,4.0321631630305195
-0.3082917415304622,5,3.0601230623716136
-0.022406606862758235,19,4.532211602045748
-0.4580226800899095,15,0.6468650876345687
-0.0790858130455894,10,3.571730102913802
-0.19999313692924614,16,4.544674439017982
-0.10573578768385856,18,2.3845693498196936
-0.093533854385544,16,1.0528957953310707
-0.04134781898073893,6,1.553332763185789
-0.42758662154276106,14,2.2972707598014783
-0.06016254453456518,9,4.926876758190058
-0.03401487745322235,9,4.537485714650523
-0.48682543650227655,15,3.1890518213105308
-0.3094802695251047,13,2.0793948024292654
-0.05851181936043439,18,1.7395452121424324
-0.4847593299446759,2,3.29667941161031
-0.14250452478657705,2,5.160829641506733
-0.025636154741444782,15,2.46176722791287
-0.44941281336379907,4,4.808919711649094
-0.2747520815849049,17,1.858242776366261
-0.07597406307103916,2,2.216160575837824
-0.02581541456718198,9,6.14273836258941
-0.3292624951195349,4,4.779838639549922
-0.11907450782890694,7,2.0739315020203435
-0.3002568122239478,15,0.5608155323669632
-0.4511267735144543,7,6.119168585935438
-0.22381149790660737,3,4.583610359410703
-0.1643076128965978,15,4.94491956561936
-0.12089843865890422,1,3.110722614101353
-0.20062642288023896,14,2.043529760766042
-0.15672973947781993,14,0.12122771642943109
-0.2497633985870612,13,3.556004659886941
-0.26612494768164086,9,2.38726749266565
-0.08974230838502122,3,3.2131324657035423
-0.03923904266627824,15,6.233627637126307
-0.19016041182740595,2,6.207307110402247
-0.25382378451860615,14,6.229167661315841
-0.21522867485367664,15,2.0521810174344206
-0.5061824466945735,5,1.0298910844815408
-0.2303325261799128,6,3.4158296858998862
-0.23618447247462154,13,0.8807194700357444
