Amplitude, nodes, Phase
-0.1108047830498068,17,5.794794217504258
-0.3556219767430451,16,4.522327116180106
-0.43229114503574423,18,1.9897410165568887
-0.018274354478577115,11,2.836813387629129
-0.42229548252181576,10,6.241577915034932
-0.41995529157807077,17,3.6983686888146567
-0.18629300193361448,20,2.4596617059868744
-0.06205810160407492,14,1.0396143306610617
-0.4930914075324295,4,2.155948951781603
-0.2895126289836205,11,1.6794688465849503
-0.09261785449148859,16,6.016568469411024
-0.3489567686342056,10,3.940678880186865
-0.12721011243574828,9,0.0511856624700876
-0.4514057525225222,10,4.301600831686711
-0.12351171321156353,10,5.427237952679864
-0.17504244237057187,3,3.236445258679988
-0.3671794254479494,6,1.927775410499575
-0.44034098860639326,17,3.1409870459668983
-0.29854038153126117,6,2.6005284498907657
-0.024265425650889735,7,1.3147964694171292
-0.02851222490557618,12,3.2112605563608456
-0.36243840663253185,16,0.12163571034847696
-0.021964208603243343,1,5.1888355975491685
-0.015536371162434594,14,4.5676091598232125
-0.11665495146638397,13,0.6813716532936014
-0.14725955795724793,2,5.482689438397485
-0.29207048907860905,13,1.3983901788495199
-0.2239959419724487,5,3.288849912808009
-0.2954188341875367,11,2.5532198743128203
-0.23487744126245524,9,4.398488840841465
-0.22572927918665336,1,0.2668999184129681
-0.13864782871283005,12,3.7578557953057663
-0.34188949017819403,6,2.40632831187591
-0.038432560560957285,2,5.078612222259087
-0.033794753556597036,3,3.1940609215796547
-0.3874592221810676,9,1.432024802891706
-0.3760405987164292,17,4.443349381999511
-0.1152911728038265,3,5.178812451705818
-0.45913490509909854,13,4.0366655131240305
-0.28089155084773554,6,1.3727063862691213
-0.0612752850865061,16,5.055621556635715
-0.24463115458982942,6,5.903668160734372
-0.11602819008512524,3,4.4436188493964295
-0.3941164602712345,19,2.6699634700587795
-0.050669770705122165,6,5.8985934682510655
-0.06654031999776991,20,5.737058243606884
-0.19690704086760852,17,2.8200184386717715
-0.34202445174371915,1,3.7981921065537554
-0.13988561632622365,18,4.468860880281256
-0.32820657705324763,12,3.8978497841986783
-0.4182613009115298,11,3.317636818972876
-0.30668684315975653,5,2.9847160629331357
-0.34805783590344314,1,5.801746860229661
-0.040351113086823646,19,1.163175507898319
-0.17860594545765746,16,2.3588895632152815
-0.46903383179044233,1,2.4818453710344555
-0.1380783189363009,15,6.088042117670769
-0.19984090256942022,20,5.982313506609806
-0.25661185421094035,2,0.5956642819766517
-0.36284481791430556,11,4.716733623802044
